#feature,bac3,bac4,bac1,bac2,bac5,bac6,vir1,vir4,vir2,vir3,vir5,vri6
ENST00000271411.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000271450.12,90.0,12.0,122.58,59.17,129.5,39.0,51.17,18.0,41.5,5.0,63.83,27.83
ENST00000271469.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000271526.9,7.5,1.5,3.5,3.0,2.5,1.0,5.0,2.5,2.0,0.0,5.5,1.0
ENST00000271583.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000271620.8,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000271628.9,21.0,3.0,5.0,10.0,10.0,2.0,5.0,4.0,10.0,1.0,12.0,2.0
ENST00000271638.3,339.5,44.0,485.5,307.0,256.5,185.5,190.5,96.0,110.0,13.0,224.5,144.0
ENST00000271640.9,1.5,0.0,0.0,1.5,1.0,2.0,1.0,1.5,0.0,0.0,1.0,0.0
ENST00000271643.8,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000271688.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000271690.12,0.0,1.5,2.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,4.0,1.0
ENST00000271715.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENST00000271732.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000271764.7,4.5,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0
ENST00000271836.10,0.0,1.0,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
